filename,multisport,session_index,date,start_time,sport,sub_sport,total_elapsed_time,total_timer_time,total_distance,avg_heart_rate,max_heart_rate,avg_speed,avg_pace,total_calories,total_ascent,avg_cadence,training_load,aerobic_training_effect,anaerobic_training_effect,normalized_power,avg_power,pool_length,total_strokes
2026-03-17-07-44-10.fit,否,,2026-03-17,07:44,游泳,lap_swimming,52.7,52.5,1025.0,131,165,,0:03,555,,16,,2.9,0.8,,,25.0,
2026-03-18-13-17-54.fit,否,,2026-03-18,13:17,跑步,treadmill,40.2,40.2,4.38,126,137,,9:10,348,,,,2.0,,230,223,,
2026-03-19-07-45-28.fit,否,,2026-03-19,07:45,游泳,lap_swimming,41.3,41.2,650.0,133,164,,0:03,377,,15,,2.8,1.7,,,25.0,
2026-03-20-19-08-29.fit,否,,2026-03-20,19:08,游泳,lap_swimming,65.6,65.2,575.0,101,143,,0:06,337,,17,,0.9,,,,25.0,
2026-03-21-08-16-31.fit,否,,2026-03-21,08:16,骑行,,101.2,85.7,30.69,124,148,,,705,78,82,,2.5,0.3,,,,
2026-03-22-09-32-58.fit,是,1,2026-03-22,09:32,骑行,,54.3,54.3,19.7,129,145,,,539,56,84,,2.6,,,,,
2026-03-22-09-32-58.fit,是,2,2026-03-22,10:27,换项,,1.9,1.9,0.06,129,139,,,15,,36,,2.6,,,,,
2026-03-22-09-32-58.fit,是,3,2026-03-22,10:29,跑步,,34.8,34.8,5.01,157,183,,6:56,411,8,,,3.4,2.0,290,280,,
2026-03-24-activity.fit,否,,2026-03-24,11:47,跑步,treadmill,40.3,40.3,6.02,150,176,,6:41,467,,,,3.6,,270,248,,
2026-03-25-07-29-28.fit,否,,2026-03-25,07:29,游泳,lap_swimming,48.3,48.2,825.0,132,166,,0:03,590,,18,,2.9,1.4,,,25.0,
2026-03-25-activity.fit,否,,2026-03-25,07:29,游泳,lap_swimming,48.3,48.2,825.0,132,166,,0:03,590,,18,,2.9,1.4,,,25.0,
2026-03-26-11-42-55.fit,否,,2026-03-26,11:42,跑步,treadmill,54.0,54.0,6.78,129,145,,7:57,465,,,,2.3,,256,235,,
